from   to
1      chr1 
2      chr2 
3      chr3 
4      chr4 
5      chr5 
6      chr6 
7      chr7 
8      chr8 
9      chr9 
10     chr10
11     chr11
12     chr12
13     chr13
14     chr14
15     chr15
16     chr16
17     chr17
18     chr18
19     chr19
20     chr20
21     chr21
22     chr22
X      chrX
23     chrX
Y      chrY
M      chrM
MT     chrM
chrMT  chrM
NC_000001.11  chr1
NC_000002.12  chr2
NC_000003.12  chr3
NC_000004.12  chr4
NC_000005.10  chr5
NC_000006.12  chr6
NC_000007.14  chr7
NC_000008.11  chr8
NC_000009.12  chr9
NC_000010.11  chr10
NC_000011.10  chr11
NC_000012.12  chr12
NC_000013.11  chr13
NC_000014.9   chr14
NC_000015.10  chr15
NC_000016.10  chr16
NC_000017.11  chr17
NC_000018.10  chr18
NC_000019.10  chr19
NC_000020.11  chr20
NC_000021.9   chr21
NC_000022.11  chr22
NC_000023.11  chrX
NC_000024.10  chrY
